# Stock data for GOOGL from 2021-06-20 to 2026-06-20
# Total records: 1255
# Data retrieved on: 2026-06-20 23:11:25

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-07-20,112.18,114.39,111.49,112.9,35600400,0.0,0.0
2022-07-21,113.28,113.54,110.13,113.34,32676200,0.0,0.0
2022-07-22,110.02,111.35,105.56,106.95,48901200,0.0,0.0
2022-07-25,107.46,108.9,105.37,106.57,34690900,0.0,0.0
2022-07-26,105.66,106.26,103.16,104.1,47991000,0.0,0.0
2022-07-27,108.3,112.91,107.06,112.07,59858500,0.0,0.0
2022-07-28,111.38,113.34,110.48,113.22,32816600,0.0,0.0
2022-07-29,112.09,115.68,112.07,115.3,37223400,0.0,0.0
2022-08-01,114.29,115.69,113.34,113.85,26034300,0.0,0.0
2022-08-02,113.0,115.33,112.72,114.12,20236000,0.0,0.0
2022-08-03,114.69,117.58,114.47,117.04,28499000,0.0,0.0
2022-08-04,116.45,117.74,115.86,117.15,21602900,0.0,0.0
2022-08-05,115.21,117.07,114.98,116.44,19159500,0.0,0.0
2022-08-08,117.35,119.09,115.85,116.27,19138300,0.0,0.0
2022-08-09,116.11,116.29,114.69,115.6,19086500,0.0,0.0
2022-08-10,117.74,119.86,117.37,118.65,30930400,0.0,0.0
2022-08-11,120.21,120.42,117.52,117.8,24293700,0.0,0.0
2022-08-12,119.2,120.61,118.41,120.61,19096300,0.0,0.0
2022-08-15,120.07,121.23,119.55,121.01,19494800,0.0,0.0
2022-08-16,120.45,121.35,119.58,120.63,19041200,0.0,0.0
2022-08-17,119.06,120.22,118.33,118.5,22847000,0.0,0.0
2022-08-18,118.38,119.76,117.68,119.11,17987700,0.0,0.0
2022-08-19,118.01,118.1,115.73,116.18,21809500,0.0,0.0
2022-08-22,114.19,114.61,112.85,113.24,21456600,0.0,0.0
2022-08-23,112.48,114.0,112.43,112.86,15870400,0.0,0.0
2022-08-24,112.5,113.77,111.88,112.69,17734600,0.0,0.0
2022-08-25,113.24,115.69,113.11,115.62,16956800,0.0,0.0
2022-08-26,113.71,114.11,109.22,109.37,37245700,0.0,0.0
2022-08-29,109.02,109.97,107.84,108.46,21191200,0.0,0.0
2022-08-30,109.2,109.53,106.85,107.98,27513300,0.0,0.0
2022-08-31,109.68,109.88,107.18,107.27,28627000,0.0,0.0
2022-09-01,107.33,109.48,106.42,108.78,28360900,0.0,0.0
2022-09-02,109.62,109.77,106.32,106.9,24160700,0.0,0.0
2022-09-06,106.36,107.08,104.85,105.87,25068300,0.0,0.0
2022-09-07,106.12,109.01,105.96,108.49,23167000,0.0,0.0
2022-09-08,107.09,108.64,106.22,107.43,24238300,0.0,0.0
2022-09-09,108.11,110.01,108.06,109.68,23197700,0.0,0.0
2022-09-12,110.01,110.64,108.96,109.89,22966800,0.0,0.0
2022-09-13,106.85,107.35,103.18,103.4,38172900,0.0,0.0
2022-09-14,103.65,104.35,102.75,104.08,26395100,0.0,0.0
2022-09-15,103.12,104.34,101.45,102.01,34188300,0.0,0.0
2022-09-16,101.17,102.22,100.05,101.9,42797200,0.0,0.0
2022-09-19,100.86,102.42,100.66,102.16,23036800,0.0,0.0
2022-09-20,101.18,101.47,99.64,100.25,26517100,0.0,0.0
2022-09-21,100.78,101.98,98.4,98.41,31487300,0.0,0.0
2022-09-22,97.95,100.35,97.92,99.26,34298600,0.0,0.0
2022-09-23,98.75,98.78,96.61,97.87,31625400,0.0,0.0
2022-09-26,97.24,99.0,96.94,97.31,27072700,0.0,0.0
2022-09-27,98.56,99.12,96.02,96.64,30072800,0.0,0.0
2022-09-28,96.79,99.81,96.26,99.17,32466300,0.0,0.0
2022-09-29,97.77,97.77,95.12,96.56,31047200,0.0,0.0
2022-09-30,96.2,98.03,94.72,94.81,32941500,0.0,0.0
2022-10-03,95.91,98.42,95.67,97.77,27982000,0.0,0.0
2022-10-04,99.56,100.94,99.5,100.75,28850800,0.0,0.0
2022-10-05,98.95,101.03,97.93,100.54,22176900,0.0,0.0
2022-10-06,99.8,102.03,99.71,100.53,22324000,0.0,0.0
2022-10-07,98.97,99.65,97.44,97.81,27502800,0.0,0.0
2022-10-10,98.13,98.23,96.16,97.0,18225100,0.0,0.0
2022-10-11,96.57,98.38,95.46,96.33,26507100,0.0,0.0
2022-10-12,96.44,97.88,95.89,96.7,21876400,0.0,0.0
2022-10-13,94.31,98.9,93.55,98.19,34574500,0.0,0.0
